config_name,timestamp,m_true,c_true,k_true,m_est,c_est,k_est,m_error,c_error,k_error,rmse,runtime
light_mass,20250311_103512,0.5,0.1,5.0,0.37057835802105116,0.09775624563480638,13.967659076979983,25.88432839578977,2.243754365193626,179.35318153959966,0.0005817425453976251,68.881399
medium_mass,20250311_103621,5.0,0.1,5.0,0.024511038519424544,0.07697859126421369,4.999999999999997,99.50977922961151,23.021408735786313,5.3290705182007514e-14,0.003249194013809758,67.485524
heavy_mass,20250311_103728,20.0,0.1,5.0,0.06514951989605303,0.01,5.0,99.67425240051973,90.0,0.0,0.003594826243082992,67.205019
underdamped,20250311_103836,1.0,0.05,5.0,0.08108927798323962,0.01,4.999999999999999,91.89107220167604,80.0,1.7763568394002505e-14,12.337774739600746,67.66282
critically_damped,20250311_103943,1.0,4.47,5.0,0.01,0.01,4.999999999999585,99.0,99.77628635346757,8.29558643999917e-12,18.37752018803196,71.758057
overdamped,20250311_104055,1.0,10.0,5.0,0.01,0.01,4.999999999997568,99.0,99.9,4.863665026277886e-11,76.66425957926326,71.647505
soft_spring,20250311_104207,1.0,0.1,1.0,0.01,0.0777675286982982,1.0000000000000004,99.0,22.232471301701807,4.440892098500626e-14,0.004064820686119594,68.392569
medium_spring,20250311_104315,1.0,0.1,10.0,0.7412021137131126,0.09357505218203921,28.076512653934127,25.879788628688736,6.424947817960796,180.76512653934128,0.0005343229326393721,68.215064
stiff_spring,20250311_104423,1.0,0.1,50.0,0.7056313059243043,0.08867800325527884,82.66214533999442,29.436869407569567,11.32199674472116,65.32429067998885,0.003434067753393615,68.622031
low_freq,20250311_104532,1.0,0.1,5.0,1.2278690831228694,0.09841330337738105,4.343946201952151,22.786908312286936,1.586696622618955,13.121075960956983,0.00014948881455483374,69.535385
resonance_freq,20250311_104642,1.0,0.1,5.0,0.8724112638001168,0.09826028643897061,6.061679180786692,12.75887361998832,1.7397135610293935,21.233583615733842,0.0003559036180577838,68.706486
high_freq,20250311_104750,1.0,0.1,5.0,0.01,0.07174772103902921,5.000000000000001,99.0,28.252278960970795,1.7763568394002505e-14,0.007978078376156023,67.979705
small_amplitude,20250311_104858,1.0,0.1,5.0,0.06185334492660461,0.0873448822940559,4.999999999999998,93.81466550733954,12.655117705944102,3.552713678800501e-14,0.00016556857968608177,67.299145
large_amplitude,20250311_105006,1.0,0.1,5.0,0.06481192373925138,0.08949925765381514,5.000000000000002,93.51880762607486,10.500742346184866,3.552713678800501e-14,0.014933591365653219,68.197138
no_noise,20250311_105114,1.0,0.1,5.0,0.06398393885860572,0.08732807235071055,4.999999999999998,93.60160611413943,12.671927649289454,3.552713678800501e-14,0.0015004032831807857,67.865555
medium_noise,20250311_105222,1.0,0.1,5.0,0.06398393885860572,0.08732807235071055,4.999999999999998,93.60160611413943,12.671927649289454,3.552713678800501e-14,0.0015004032831807857,67.583935
extreme_noise,20250311_105329,1.0,0.1,5.0,0.71752614980588,0.09558736129000299,23.710191202767138,28.247385019411997,4.412638709997016,374.2038240553428,0.0010774724598833641,67.354783
large_initial_displacement,20250311_105437,1.0,0.1,5.0,0.27342219087074976,0.09999999999998987,5.0000000000000036,72.65778091292503,1.0130785099704553e-11,7.105427357601002e-14,52.29592548202351,67.303265
large_initial_velocity,20250311_105544,1.0,0.1,5.0,0.01,0.09999999999999876,5.000000000000269,99.0,1.2490009027033011e-12,5.382361223382759e-12,18.784446440546073,68.522239
random_high_amplitude,20250311_105653,1.0,0.1,5.0,0.01,0.09999999999999964,5.000000000000012,99.0,3.608224830031759e-13,2.4868995751603507e-13,9.078852084859657,67.804591
fine_time_step,20250311_105800,1.0,0.1,5.0,0.06325881917129922,0.07777933813657571,5.000000000000002,93.67411808287007,22.220661863424294,3.552713678800501e-14,0.0004794114907897088,68.619752
coarse_time_step,20250311_105909,1.0,0.1,5.0,0.7187245724146089,0.09407672905176834,24.78569669372976,28.127542758539114,5.923270948231668,395.7139338745952,0.004598382820425492,67.741405
very_long_duration,20250311_110017,1.0,0.1,5.0,0.01,0.01,4.999999999999998,99.0,90.0,3.552713678800501e-14,0.10395417377028052,71.763336
