config_name,timestamp,m_true,c_true,k_true,m_est,c_est,k_est,m_error,c_error,k_error,rmse,runtime
light_mass,20250310_165925,0.5,0.1,5.0,0.36947603889345554,0.09788726593711386,13.907552787025843,26.10479222130889,2.1127340628861457,178.15105574051685,0.0011422335059979656,63.449084
medium_mass,20250310_170028,5.0,0.1,5.0,0.01,0.016455788302374954,4.999999999999997,99.8,83.54421169762504,5.3290705182007514e-14,0.0028592633175579187,55.61855
heavy_mass,20250310_170124,20.0,0.1,5.0,0.04158300187057822,0.01,5.0,99.79208499064711,90.0,0.0,0.0011161692066896831,61.880997
underdamped,20250310_170226,1.0,0.05,5.0,0.7024019365932906,0.05000000000000426,4.999999999999999,29.759806340670934,8.520961713998076e-12,1.7763568394002505e-14,3.445955331044572,59.365283
critically_damped,20250310_170325,1.0,4.47,5.0,0.01,6.962324671636358,4.999999999999585,99.0,55.7567040634532,8.29558643999917e-12,37.42750093111896,63.446871
overdamped,20250310_170428,1.0,10.0,5.0,0.01,0.13906360876110946,4.999999999997568,99.0,98.6093639123889,4.863665026277886e-11,76.93298717067259,62.492093
soft_spring,20250310_170531,1.0,0.1,1.0,0.01,0.08885949768148185,1.0000000000000004,99.0,11.140502318518152,4.440892098500626e-14,0.0008258349430886023,51.764829
medium_spring,20250310_170623,1.0,0.1,10.0,0.12790976428097156,0.09234196501104058,10.0,87.20902357190285,7.658034988959423,0.0,0.0013812094137743709,64.243488
stiff_spring,20250310_170727,1.0,0.1,50.0,0.7111400182264496,0.08084622734398995,83.88613073489415,28.88599817735504,19.15377265601005,67.7722614697883,0.0016829156172163036,54.005958
low_freq,20250310_170821,1.0,0.1,5.0,1.383083318522504,0.09897141364012242,3.9133503176120725,38.3083318522504,1.028586359877584,21.73299364775855,6.314997522119486e-05,54.412993
resonance_freq,20250310_170915,1.0,0.1,5.0,0.8716527959695273,0.0977833659522599,6.0938158275391885,12.834720403047273,2.2166340477400985,21.87631655078377,0.0003867283628611383,63.139903
high_freq,20250310_171019,1.0,0.1,5.0,0.01,0.06882009686297541,5.000000000000001,99.0,31.179903137024596,1.7763568394002505e-14,0.006324616293506142,60.470154
small_amplitude,20250310_171119,1.0,0.1,5.0,0.059827053846350356,0.09108834277905087,4.999999999999998,94.01729461536496,8.911657220949138,3.552713678800501e-14,0.00011252039348256709,57.965029
large_amplitude,20250310_171217,1.0,0.1,5.0,0.717959912700857,0.094106182574331,23.65816042534544,28.2040087299143,5.89381742566901,373.1632085069088,0.01060935475518786,55.894673
no_noise,20250310_171313,1.0,0.1,5.0,0.059827053846350495,0.0910883427790521,4.999999999999998,94.01729461536496,8.911657220947902,3.552713678800501e-14,0.0011252044562992725,58.164566
medium_noise,20250310_171411,1.0,0.1,5.0,0.059827053846350495,0.0910883427790521,4.999999999999998,94.01729461536496,8.911657220947902,3.552713678800501e-14,0.0011252044562992725,58.563327
extreme_noise,20250310_171510,1.0,0.1,5.0,0.7179031955967432,0.09489880961371086,23.688301946975656,28.20968044032568,5.1011903862891455,373.7660389395131,0.0010129138505131506,61.95159
large_initial_displacement,20250310_171612,1.0,0.1,5.0,0.07208030436334216,0.09999999999998987,5.0000000000000036,92.79196956366579,1.0130785099704553e-11,7.105427357601002e-14,7.023934047061574,49.438829
large_initial_velocity,20250310_171701,1.0,0.1,5.0,0.31163830820890226,0.01,5.000000000000269,68.83616917910977,90.0,5.382361223382759e-12,7.979401352911894,63.379135
random_high_amplitude,20250310_171805,1.0,0.1,5.0,0.01,0.01,5.000000000000012,99.0,90.0,2.4868995751603507e-13,12.27222309533559,63.151616
fine_time_step,20250310_171908,1.0,0.1,5.0,0.7160695762727275,0.09701940002393868,23.27921958562193,28.39304237272725,2.9805999760613293,365.5843917124386,0.00034860247991442926,55.511023
coarse_time_step,20250310_172003,1.0,0.1,5.0,0.06044070761754329,0.08049930758124738,4.999999999999998,93.95592923824567,19.500692418752628,3.552713678800501e-14,0.004938604760758398,63.452716
very_long_duration,20250310_172107,1.0,0.1,5.0,0.01,0.09999999999999964,4.999999999999998,99.0,3.608224830031759e-13,3.552713678800501e-14,0.10270276653116905,62.64511
