config_name,timestamp,m_true,c_true,k_true,m_est,c_est,k_est,m_error,c_error,k_error,rmse,runtime
light_mass,20250430_093547,0.5,0.1,5.0,0.056002160665060224,0.09394672501909451,5.0,88.79956786698796,6.053274980905493,0.0,0.0024037777474162692,61.679512
medium_mass,20250430_093648,5.0,0.1,5.0,0.01,0.01,4.999999999999997,99.8,90.0,5.3290705182007514e-14,0.002313845890701944,60.144356
heavy_mass,20250430_093749,20.0,0.1,5.0,0.01,0.011215333325286656,5.0,99.94999999999999,88.78466667471335,0.0,0.003812073395126006,58.174167
underdamped,20250430_093847,1.0,0.05,5.0,0.04612158787270629,0.10482976785966137,4.999999999999999,95.38784121272937,109.65953571932275,1.7763568394002505e-14,3.230758398574835,60.846774
critically_damped,20250430_093948,1.0,4.47,5.0,0.01,2.8116148711458653,4.999999999999585,99.0,37.10033845311263,8.29558643999917e-12,31.94320372671562,62.574533
overdamped,20250430_094050,1.0,10.0,5.0,0.01,0.45198556832999415,4.999999999997568,99.0,95.48014431670006,4.863665026277886e-11,86.5252780591021,62.628094
soft_spring,20250430_094153,1.0,0.1,1.0,0.01,0.08078328839456073,1.0000000000000004,99.0,19.21671160543928,4.440892098500626e-14,0.0032599493064444495,59.43004
medium_spring,20250430_094252,1.0,0.1,10.0,0.10712711932306364,0.0843501364190807,10.0,89.28728806769364,15.649863580919298,0.0,0.0026027764074552898,49.677597
stiff_spring,20250430_094342,1.0,0.1,50.0,0.7088003305702003,0.01,81.98865861426043,29.119966942979968,90.0,63.97731722852086,0.004651818696253955,55.869333
low_freq,20250430_094438,1.0,0.1,5.0,1.2189027662806873,0.09599057771306835,4.336041461477147,21.890276628068726,4.009422286931658,13.27917077045706,0.0005975875270283545,60.890751
resonance_freq,20250430_094539,1.0,0.1,5.0,0.869835440414172,0.09819352713815044,6.031621525338999,13.016455958582796,1.8064728618495673,20.632430506779986,0.000637845990742426,58.740226
high_freq,20250430_094638,1.0,0.1,5.0,0.01,0.07089802484777358,5.000000000000001,99.0,29.101975152226427,1.7763568394002505e-14,0.008540183061977567,59.286508
small_amplitude,20250430_094737,1.0,0.1,5.0,0.03524500772989627,0.08531879451351831,4.999999999999998,96.47549922701037,14.68120548648169,3.552713678800501e-14,0.0002715970426722966,59.197295
large_amplitude,20250430_094836,1.0,0.1,5.0,0.03317040445939798,0.08148350504666317,5.000000000000002,96.6829595540602,18.516494953336835,3.552713678800501e-14,0.02870164093587694,59.441711
no_noise,20250430_094936,1.0,0.1,5.0,0.03558371334808673,0.08223588652490275,4.999999999999998,96.44162866519133,17.76411347509725,3.552713678800501e-14,0.0026890151049081224,58.799623
medium_noise,20250430_095034,1.0,0.1,5.0,0.035245007729896353,0.08531879451351937,4.999999999999998,96.47549922701036,14.681205486480636,3.552713678800501e-14,0.002715971073358533,58.921205
extreme_noise,20250430_095133,1.0,0.1,5.0,0.033858445183762714,0.08316511262653606,4.999999999999998,96.61415548162373,16.834887373463946,3.552713678800501e-14,0.002784349290487186,59.604741
large_initial_displacement,20250430_095233,1.0,0.1,5.0,0.01,0.01,5.0000000000000036,99.0,90.0,7.105427357601002e-14,29.10525897865787,61.689985
large_initial_velocity,20250430_095335,1.0,0.1,5.0,0.2754407464112897,0.06755668962684275,5.000000000000269,72.45592535887103,32.44331037315726,5.382361223382759e-12,15.820401244371256,54.376853
random_high_amplitude,20250430_095429,1.0,0.1,5.0,0.01,0.09999999999999964,5.000000000000012,99.0,3.608224830031759e-13,2.4868995751603507e-13,12.558346054247673,60.46218
fine_time_step,20250430_095529,1.0,0.1,5.0,0.029951152150467956,0.08280627849316778,5.000000000000002,97.0048847849532,17.193721506832222,3.552713678800501e-14,0.0007416337046575679,60.463708
coarse_time_step,20250430_095630,1.0,0.1,5.0,0.03268107496399231,0.09596218748997096,4.999999999999998,96.73189250360078,4.037812510029049,3.552713678800501e-14,0.010513074800186453,58.754523
very_long_duration,20250430_095729,1.0,0.1,5.0,0.01,0.01,4.999999999999998,99.0,90.0,3.552713678800501e-14,0.08270425057793063,62.734955
