config_name,timestamp,m_true,c_true,k_true,m_est,c_est,k_est,m_error,c_error,k_error,rmse,runtime
light_mass,20250310_173313,0.5,0.1,5.0,0.37113424368586717,0.09655385649572747,13.614418412023236,25.773151262826566,3.446143504272539,172.2883682404647,0.00346419179080561,91.163203
medium_mass,20250310_173444,5.0,0.1,5.0,0.058282182617819096,0.09432683948205098,4.999999999999997,98.83435634764362,5.673160517949027,5.3290705182007514e-14,0.002413087661255956,85.847334
heavy_mass,20250310_173610,20.0,0.1,5.0,0.10813653037192589,0.12593684140508507,5.0,99.45931734814037,25.936841405085065,0.0,0.0036067312265170557,85.862919
underdamped,20250310_173736,1.0,0.05,5.0,1.0,0.05000000000000426,4.999999999999999,0.0,8.520961713998076e-12,1.7763568394002505e-14,189.35751554358316,91.604734
critically_damped,20250310_173907,1.0,4.47,5.0,0.01,0.01,4.999999999999585,99.0,99.77628635346757,8.29558643999917e-12,68.15946765239909,91.231116
overdamped,20250310_174039,1.0,10.0,5.0,0.01,0.5436677244438788,4.999999999997568,99.0,94.56332275556122,4.863665026277886e-11,74.48424735901972,91.207582
soft_spring,20250310_174210,1.0,0.1,1.0,0.01,0.08096817339032072,1.0000000000000004,99.0,19.031826609679282,4.440892098500626e-14,0.005147719291777067,88.952914
medium_spring,20250310_174339,1.0,0.1,10.0,0.12520230383908004,0.0870276697205904,10.0,87.479769616092,12.972330279409611,0.0,0.00415745597633588,85.85995
stiff_spring,20250310_174505,1.0,0.1,50.0,0.6928710328428416,0.18012577285659012,76.90432880094141,30.712896715715843,80.12577285659012,53.80865760188283,0.016703155706491307,84.815446
low_freq,20250310_174630,1.0,0.1,5.0,1.2094189053646125,0.0952249689852293,4.308626255856748,20.94189053646125,4.775031014770711,13.827474882865049,0.001097307875377437,88.387898
resonance_freq,20250310_174758,1.0,0.1,5.0,0.8593709311955184,0.09476504616671126,5.9226023281490665,14.062906880448157,5.234953833288744,18.45204656298133,0.001689067773616263,86.910439
high_freq,20250310_174925,1.0,0.1,5.0,0.01,0.09836765137493728,5.000000000000001,99.0,1.6323486250627295,1.7763568394002505e-14,0.009247388667404821,86.749311
small_amplitude,20250310_175052,1.0,0.1,5.0,0.07344624344437117,0.09250181216489303,4.999999999999998,92.65537565556288,7.4981878351069735,3.552713678800501e-14,0.00029576305781975603,88.942213
large_amplitude,20250310_175221,1.0,0.1,5.0,0.07227894667333414,0.09390887622772942,5.000000000000002,92.77210533266658,6.091123772270585,3.552713678800501e-14,0.035498058210725804,86.758646
no_noise,20250310_175347,1.0,0.1,5.0,0.054235907906374156,0.08840940495928648,4.999999999999998,94.5764092093626,11.590595040713525,3.552713678800501e-14,0.0035326608730744382,92.817345
medium_noise,20250310_175520,1.0,0.1,5.0,0.0619628598421828,0.06936518590604786,4.999999999999998,93.80371401578172,30.634814093952144,3.552713678800501e-14,0.003980058935989873,88.247327
extreme_noise,20250310_175649,1.0,0.1,5.0,0.0619628598421828,0.06936518590604786,4.999999999999998,93.80371401578172,30.634814093952144,3.552713678800501e-14,0.003980058935989873,87.715918
large_initial_displacement,20250310_175816,1.0,0.1,5.0,0.01,0.0179457669507048,0.0948995501889095,99.0,82.0542330492952,98.10200899622181,59.620139610648344,86.301636
large_initial_velocity,20250310_175943,1.0,0.1,5.0,0.01,0.09999999999999876,5.000000000000269,99.0,1.2490009027033011e-12,5.382361223382759e-12,143.36883226752607,74.90367
random_high_amplitude,20250310_180058,1.0,0.1,5.0,0.01,0.09999999999999964,5.000000000000012,99.0,3.608224830031759e-13,2.4868995751603507e-13,17.68782534090468,88.373535
fine_time_step,20250310_180226,1.0,0.1,5.0,0.7175577855359966,0.09468491521193637,22.6920081070738,28.244221446400342,5.31508478806364,353.840162141476,0.0006538128495516195,84.830127
coarse_time_step,20250310_180351,1.0,0.1,5.0,0.029799723625336113,0.09225240018487478,4.999999999999998,97.02002763746638,7.747599815125225,3.552713678800501e-14,0.01249994527293145,86.004036
very_long_duration,20250310_180517,1.0,0.1,5.0,0.01,0.1823898124577322,4.999999999999998,99.0,82.38981245773219,3.552713678800501e-14,0.1631564002643134,91.462226
