config_name,timestamp,m_true,c_true,k_true,m_est,c_est,k_est,m_error,c_error,k_error,rmse,runtime
light_mass,20250311_110434,0.5,0.1,5.0,0.3262434160632348,0.01,13.270717626722925,34.75131678735303,90.0,165.41435253445852,0.041441544415716736,117.933339
medium_mass,20250311_110632,5.0,0.1,5.0,0.01,0.10000000000000053,0.01,99.8,5.273559366969494e-13,99.8,0.0746075056447089,115.510755
heavy_mass,20250311_110828,20.0,0.1,5.0,0.01,0.09999999999998543,5.0,99.94999999999999,1.457167719820518e-11,0.0,0.06587504917382372,116.82294
underdamped,20250311_111024,1.0,0.05,5.0,2.013017747322605,0.05000000000000426,4.999999999999999,101.30177473226053,8.520961713998076e-12,1.7763568394002505e-14,80.79879220377958,121.293746
critically_damped,20250311_111226,1.0,4.47,5.0,0.01,12.818853598154874,4.999999999999585,99.0,186.77524828086968,8.29558643999917e-12,253.2105632609191,117.372396
overdamped,20250311_111423,1.0,10.0,5.0,0.3316263781225066,18.095895955802682,4.999999999997568,66.83736218774933,80.95895955802682,4.863665026277886e-11,656.2917990466121,118.100771
soft_spring,20250311_111621,1.0,0.1,1.0,0.01,0.18021554937977818,1.0000000000000004,99.0,80.21554937977817,4.440892098500626e-14,0.057875060451679415,117.288827
medium_spring,20250311_111819,1.0,0.1,10.0,0.09152292703825754,0.01,12.632110987940592,90.84770729617424,90.0,26.321109879405924,0.0631694125669774,115.496899
stiff_spring,20250311_112014,1.0,0.1,50.0,0.819769435454285,0.02176631229362134,63.91602236065716,18.023056454571496,78.23368770637867,27.83204472131432,0.02166267356204947,118.376212
low_freq,20250311_112212,1.0,0.1,5.0,1.2033815029750663,0.1170695445448906,4.283214093736067,20.33815029750663,17.069544544890597,14.33571812527866,0.0015091916182862655,117.299053
resonance_freq,20250311_112410,1.0,0.1,5.0,0.8185736570581704,0.01,5.051025683983376,18.142634294182958,90.0,1.0205136796675163,0.011576317742226554,115.415786
high_freq,20250311_112605,1.0,0.1,5.0,0.01,0.10000000000000053,5.000000000000001,99.0,5.273559366969494e-13,1.7763568394002505e-14,0.19127787158117415,116.940252
small_amplitude,20250311_112802,1.0,0.1,5.0,0.04066842506465187,0.23530215426593395,4.999999999999998,95.93315749353482,135.30215426593395,3.552713678800501e-14,0.004712291577236764,115.138849
large_amplitude,20250311_112957,1.0,0.1,5.0,0.013735313952813926,0.10000000000000053,10.060710119726238,98.62646860471861,5.273559366969494e-13,101.21420239452476,0.6003002295707711,116.39299
no_noise,20250311_113154,1.0,0.1,5.0,0.04394329886328424,0.10000000000000053,10.235048013831582,95.60567011367158,5.273559366969494e-13,104.70096027663165,0.06093413583390689,115.397563
medium_noise,20250311_113349,1.0,0.1,5.0,0.029428439987385875,0.10000000000000053,11.22502977791725,97.05715600126142,5.273559366969494e-13,124.50059555834501,0.057909915250884965,114.657431
extreme_noise,20250311_113544,1.0,0.1,5.0,0.029428439987385875,0.10000000000000053,11.22502977791725,97.05715600126142,5.273559366969494e-13,124.50059555834501,0.057909915250884965,115.34382
large_initial_displacement,20250311_113739,1.0,0.1,5.0,0.8579398636732248,0.09999999999998987,5.0000000000000036,14.206013632677516,1.0130785099704553e-11,7.105427357601002e-14,65.22361735366401,121.552103
large_initial_velocity,20250311_113941,1.0,0.1,5.0,0.39055032317588534,0.09999999999999876,5.000000000000269,60.944967682411466,1.2490009027033011e-12,5.382361223382759e-12,294.70123169710865,120.101097
random_high_amplitude,20250311_114141,1.0,0.1,5.0,0.30960052163074303,0.09999999999999964,5.000000000000012,69.03994783692569,3.608224830031759e-13,2.4868995751603507e-13,41.17155035543698,115.957765
fine_time_step,20250311_114337,1.0,0.1,5.0,0.03810120892159337,0.07502291361422117,5.000000000000002,96.18987910784065,24.977086385778836,3.552713678800501e-14,0.005916164457792022,116.599835
coarse_time_step,20250311_114533,1.0,0.1,5.0,0.01,0.07641690624246217,0.802551393034512,99.0,23.58309375753784,83.94897213930976,0.20945829203253366,116.876297
very_long_duration,20250311_114730,1.0,0.1,5.0,0.01,0.09999999999999964,4.999999999999998,99.0,3.608224830031759e-13,3.552713678800501e-14,0.09140951836050903,120.502813
