config_name,timestamp,m_true,c_true,k_true,m_est,c_est,k_est,m_error,c_error,k_error,rmse,runtime
light_mass,20250429_193346,0.5,0.1,5.0,0.01,0.09999999999999964,9.19791373113965,98.0,3.608224830031759e-13,83.958274622793,0.048098111374448436,112.607329
medium_mass,20250429_193539,5.0,0.1,5.0,0.01,0.10000000000000053,4.999999999999997,99.8,5.273559366969494e-13,5.3290705182007514e-14,0.0455190518103937,112.889395
heavy_mass,20250429_193732,20.0,0.1,5.0,0.01,0.09999999999998543,5.0,99.94999999999999,1.457167719820518e-11,0.0,0.041951499559427494,110.584768
underdamped,20250429_193922,1.0,0.05,5.0,0.01,0.05000000000000426,14.795193384780086,99.0,8.520961713998076e-12,195.90386769560172,4.861311786635835,111.861758
critically_damped,20250429_194114,1.0,4.47,5.0,0.01,10.630851393076906,4.999999999999585,99.0,137.8266530889688,8.29558643999917e-12,170.10242481978247,111.696634
overdamped,20250429_194306,1.0,10.0,5.0,0.01,8.311423117863303,4.999999999997568,99.0,16.885768821366973,4.863665026277886e-11,642.7617616987301,112.76807
soft_spring,20250429_194459,1.0,0.1,1.0,0.01,0.1000000000000002,1.0000000000000004,99.0,1.942890293094024e-13,4.440892098500626e-14,0.043324119253979,109.828635
medium_spring,20250429_194649,1.0,0.1,10.0,0.0385567947164803,0.09999999999999964,23.10480571084867,96.14432052835197,3.608224830031759e-13,131.04805710848672,0.03711731871383155,109.673572
stiff_spring,20250429_194838,1.0,0.1,50.0,0.7699016547436396,0.01,47.80365436218223,23.00983452563604,90.0,4.392691275635542,0.07230321243788919,109.715281
low_freq,20250429_195028,1.0,0.1,5.0,1.0083931733754552,0.022408064506742292,3.9028068628012687,0.8393173375455198,77.59193549325771,21.943862743974627,0.01151210569823373,108.260048
resonance_freq,20250429_195216,1.0,0.1,5.0,0.8114212647520078,0.01,5.375811331773906,18.857873524799217,90.0,7.516226635478115,0.007800517075582632,109.607581
high_freq,20250429_195406,1.0,0.1,5.0,0.01,0.10000000000000053,5.000000000000001,99.0,5.273559366969494e-13,1.7763568394002505e-14,0.09146778117227923,106.951083
small_amplitude,20250429_195553,1.0,0.1,5.0,0.06864562430297158,0.10000000000000053,4.999999999999998,93.13543756970284,5.273559366969494e-13,3.552713678800501e-14,0.004388748041288125,109.870531
large_amplitude,20250429_195743,1.0,0.1,5.0,0.01,0.10000000000000053,5.000000000000002,99.0,5.273559366969494e-13,3.552713678800501e-14,0.31883146908555215,108.057096
no_noise,20250429_195931,1.0,0.1,5.0,0.01,0.10000000000000053,14.18364792490964,99.0,5.273559366969494e-13,183.67295849819277,0.05092023573953447,107.059555
medium_noise,20250429_200118,1.0,0.1,5.0,0.062148990957759886,0.10000000000000053,4.999999999999998,93.78510090422401,5.273559366969494e-13,3.552713678800501e-14,0.03648954944070615,108.049568
extreme_noise,20250429_200306,1.0,0.1,5.0,0.028030387327802532,0.01,4.999999999999998,97.19696126721975,90.0,3.552713678800501e-14,0.04254652962539987,110.223377
large_initial_displacement,20250429_200456,1.0,0.1,5.0,0.01,0.09999999999998987,8.815793059156594,99.0,1.0130785099704553e-11,76.31586118313187,45.4196532217221,110.38057
large_initial_velocity,20250429_200646,1.0,0.1,5.0,0.01,0.09999999999999876,5.000000000000269,99.0,1.2490009027033011e-12,5.382361223382759e-12,379.774410957161,109.950585
random_high_amplitude,20250429_200836,1.0,0.1,5.0,0.01,0.09999999999999964,5.000000000000012,99.0,3.608224830031759e-13,2.4868995751603507e-13,36.42541101835514,110.974806
fine_time_step,20250429_201027,1.0,0.1,5.0,0.01,0.18826223123659622,5.000000000000002,99.0,88.26223123659621,3.552713678800501e-14,0.004996260790635736,110.313679
coarse_time_step,20250429_201218,1.0,0.1,5.0,0.01,0.09999999999999964,6.707645548638388,99.0,3.608224830031759e-13,34.15291097276777,0.18966641429898037,109.895874
very_long_duration,20250429_201408,1.0,0.1,5.0,0.01,0.09999999999999964,4.999999999999998,99.0,3.608224830031759e-13,3.552713678800501e-14,0.19004678923883192,113.399614
