,"[3,13,1]","[3,5,1]","[3,5,3,1]","[3,5,5,1]","[3,7,5,5,1]","[3,8,1]"
light_mass,179.35318153959966,178.15105574051685,0.0,172.2883682404647,165.41435253445852,180.0208169315776
medium_mass,5.329070518200752e-14,5.329070518200752e-14,5.329070518200752e-14,5.329070518200752e-14,99.8,5.329070518200752e-14
heavy_mass,0.0,0.0,0.0,0.0,0.0,0.0
underdamped,1.7763568394002505e-14,1.7763568394002505e-14,89.37490784748692,1.7763568394002505e-14,1.7763568394002505e-14,1.7763568394002505e-14
critically_damped,8.29558643999917e-12,8.29558643999917e-12,8.29558643999917e-12,8.29558643999917e-12,8.29558643999917e-12,8.29558643999917e-12
overdamped,4.863665026277886e-11,4.863665026277886e-11,4.863665026277886e-11,4.863665026277886e-11,4.863665026277886e-11,4.863665026277886e-11
soft_spring,4.440892098500626e-14,4.440892098500626e-14,4.440892098500626e-14,4.440892098500626e-14,4.440892098500626e-14,4.440892098500626e-14
medium_spring,180.76512653934128,0.0,0.0,0.0,26.321109879405924,180.6611478662448
stiff_spring,65.32429067998885,67.7722614697883,68.72377761349506,53.80865760188283,27.83204472131432,39.50388277743454
low_freq,13.121075960956984,21.73299364775855,13.345189851299608,13.827474882865047,14.33571812527866,13.149235469922544
resonance_freq,21.23358361573384,21.87631655078377,35.771520444462546,18.45204656298133,1.0205136796675165,20.90702040929088
high_freq,1.7763568394002505e-14,1.7763568394002505e-14,1.7763568394002505e-14,1.7763568394002505e-14,1.7763568394002505e-14,1.7763568394002505e-14
small_amplitude,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14
large_amplitude,3.5527136788005016e-14,373.1632085069088,3.5527136788005016e-14,3.5527136788005016e-14,101.21420239452476,3.5527136788005016e-14
no_noise,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14,104.70096027663163,3.5527136788005016e-14
medium_noise,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14,124.500595558345,3.5527136788005016e-14
extreme_noise,374.2038240553428,373.7660389395131,3.5527136788005016e-14,3.5527136788005016e-14,124.500595558345,3.5527136788005016e-14
large_initial_displacement,7.105427357601003e-14,7.105427357601003e-14,6.399150965938532,98.1020089962218,7.105427357601003e-14,7.105427357601003e-14
large_initial_velocity,5.382361223382759e-12,5.382361223382759e-12,5.382361223382759e-12,5.382361223382759e-12,5.382361223382759e-12,5.382361223382759e-12
random_high_amplitude,2.486899575160351e-13,2.486899575160351e-13,2.486899575160351e-13,2.486899575160351e-13,2.486899575160351e-13,2.486899575160351e-13
fine_time_step,3.5527136788005016e-14,365.5843917124386,3.5527136788005016e-14,353.840162141476,3.5527136788005016e-14,3.5527136788005016e-14
coarse_time_step,395.7139338745952,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14,83.94897213930976,3.5527136788005016e-14
very_long_duration,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14,3.5527136788005016e-14
