,"[3,13,1]","[3,5,1]","[3,5,3,1]","[3,5,5,1]","[3,7,5,5,1]","[3,8,1]"
light_mass,25.88432839578977,26.10479222130889,87.08364120702406,25.77315126282657,34.75131678735303,25.82938174495264
medium_mass,99.50977922961152,99.8,99.56656103132092,98.83435634764362,99.8,99.64682918534211
heavy_mass,99.67425240051972,99.79208499064713,99.33793835924384,99.45931734814036,99.95,99.94142369958892
underdamped,91.89107220167604,29.75980634067093,99.0,0.0,101.30177473226053,99.0
critically_damped,99.0,99.0,99.0,99.0,99.0,99.0
overdamped,99.0,99.0,99.0,99.0,66.83736218774933,99.0
soft_spring,99.0,99.0,99.0,99.0,99.0,99.0
medium_spring,25.879788628688736,87.20902357190285,87.60221342893462,87.479769616092,90.84770729617424,25.826338702478136
stiff_spring,29.436869407569567,28.88599817735504,29.153753126872484,30.712896715715843,18.023056454571496,17.52947149825388
low_freq,22.786908312286936,38.3083318522504,21.71142067996039,20.94189053646125,20.33815029750663,22.64086464707356
resonance_freq,12.75887361998832,12.834720403047273,21.20851886967201,14.062906880448155,18.14263429418296,12.922361460478516
high_freq,99.0,99.0,99.0,99.0,99.0,99.0
small_amplitude,93.81466550733954,94.01729461536496,96.59875193219672,92.65537565556288,95.93315749353482,94.64638587503724
large_amplitude,93.51880762607486,28.2040087299143,96.62247412121611,92.77210533266658,98.6264686047186,94.74354372255016
no_noise,93.60160611413944,94.01729461536496,96.35946616898632,94.5764092093626,95.60567011367158,94.88196443258468
medium_noise,93.60160611413944,94.01729461536496,96.35946616898632,93.80371401578172,97.05715600126142,94.88196443258468
extreme_noise,28.247385019412,28.20968044032568,95.2805745311992,93.80371401578172,97.05715600126142,95.32832626125008
large_initial_displacement,72.65778091292503,92.7919695636658,99.0,99.0,14.206013632677516,99.0
large_initial_velocity,99.0,68.83616917910977,71.37522201301223,99.0,60.944967682411466,99.0
random_high_amplitude,99.0,99.0,99.0,99.0,69.03994783692569,99.0
fine_time_step,93.67411808287008,28.39304237272725,95.80034347510689,28.244221446400346,96.18987910784064,95.447098755387
coarse_time_step,28.127542758539114,93.95592923824567,94.38483916271518,97.02002763746638,99.0,95.09028732764637
very_long_duration,99.0,99.0,99.0,99.0,99.0,99.0
