epoch,total_loss,data_loss,physics_loss
0,9601194080.0,9601084864.0,109093.662109375
1,8196995168.0,8196895888.0,99052.97802734375
2,5181320560.0,5181262752.0,57848.1171875
3,3641122304.0,3641072686.0,49540.6298828125
4,6837548836.0,6837467644.0,81083.17578125
5,2872837896.0,2872801440.0,36444.62255859375
6,2046736840.0,2046716704.0,20162.559814453125
7,1031742512.0,1031730256.0,12266.396423339844
8,391183551.0,391177880.0,5678.506256103516
9,553631201.0,553624935.0,6265.07275390625
10,408466384.5,408461227.0,5162.083923339844
11,357822792.0,357818478.0,4314.579376220703
12,234590269.0,234587409.0,2861.69677734375
13,286414434.0,286410702.0,3735.461883544922
14,251349714.0,251347314.0,2403.4030151367188
15,286211266.75,286208659.25,2609.9295959472656
16,292327159.25,292323980.75,3181.6663208007812
17,212625809.5,212623607.0,2201.7854919433594
18,239908358.0,239906035.0,2324.1388397216797
19,135014202.0,135012542.0,1658.916976928711
20,125671711.0,125670065.25,1647.6516647338867
21,148827926.0,148826024.0,1900.2862854003906
22,122396582.25,122395356.25,1225.9960632324219
23,140016979.0,140015395.0,1584.4374389648438
24,202718218.25,202716289.0,1932.0518035888672
25,141438222.0,141436710.5,1509.9478378295898
26,198642898.0,198641078.0,1820.3141784667969
27,93005626.875,93004678.25,946.801887512207
28,72888139.25,72887523.0,616.3830833435059
29,71290848.25,71290042.0,807.1945114135742
30,160806798.625,160805307.375,1493.0040092468262
31,100738098.0,100737084.25,1014.9975318908691
32,144059450.75,144058025.75,1421.3402404785156
33,113151231.0,113149989.0,1242.674690246582
34,52026225.125,52025730.125,495.9428024291992
35,70968534.75,70967806.875,726.8393936157227
36,71219696.5,71218830.5,866.3361015319824
37,34896739.0,34896317.75,421.11327743530273
38,43689484.5,43689060.25,424.8869686126709
39,35771757.375,35771383.25,374.11228370666504
40,48115670.75,48115228.5,442.9791259765625
41,25451041.625,25450801.625,240.36738967895508
42,16055753.0,16055599.625,153.48508548736572
43,15619670.4375,15619499.5,171.08983993530273
44,20541448.625,20541213.625,234.60041046142578
45,26758268.1875,26757937.8125,329.8955707550049
46,70546968.5,70546232.25,736.1778755187988
47,75872637.0,75871942.0,695.563533782959
48,42486601.8125,42486106.875,494.68523597717285
49,35993046.25,35992598.5,447.9124946594238
50,20657488.375,20657232.96875,255.14190483093262
51,27672234.75,27671888.625,345.8555679321289
52,30867857.625,30867515.75,341.9633979797363
53,17103994.875,17103819.25,175.85256004333496
54,25140901.15625,25140656.25,245.2237720489502
55,43098757.5,43098213.5,543.5467720031738
56,25076055.625,25075750.75,304.78271484375
57,40784479.125,40784074.125,404.57701301574707
58,19406868.5625,19406673.75,194.78033638000488
59,44708472.5,44707928.75,544.3731155395508
60,40777657.0,40777051.0,606.5027465820312
61,23902230.3125,23901982.8125,247.70306968688965
62,18206701.25,18206540.5625,161.06742477416992
63,24172477.75,24172174.1875,303.73992347717285
64,78064192.75,78063415.25,777.6200714111328
65,36930459.5,36930080.125,380.5036029815674
66,98327528.5,98326704.5,823.9475345611572
67,40411977.25,40411618.25,358.94541358947754
68,43411946.5,43411489.25,457.1930732727051
69,46718107.0,46717600.75,507.4018611907959
70,45275251.875,45274864.5,387.9711742401123
71,23634921.75,23634708.75,212.67352104187012
72,33574661.625,33574304.5,357.3298406600952
73,22522501.875,22522242.875,259.1861562728882
74,19364063.6875,19363874.25,189.4321117401123
75,27100701.375,27100457.5625,243.5176544189453
76,15027939.125,15027805.5625,133.49514865875244
77,12045998.984375,12045875.203125,123.74809455871582
78,18752366.0,18752188.5625,177.60300064086914
79,16323331.5,16323176.625,154.71786785125732
80,12104748.5,12104633.6875,114.84782457351685
81,7303990.71875,7303910.34375,80.34159135818481
82,5593198.40625,5593141.296875,57.046406984329224
83,9056914.96875,9056828.78125,86.22609758377075
84,3522765.28515625,3522732.75,32.54155373573303
85,6772431.5625,6772374.25,57.31072998046875
86,5972819.65625,5972769.859375,49.72022461891174
87,5879893.21875,5879845.5625,47.7134268283844
88,3562078.4375,3562040.859375,37.63404154777527
89,12714580.875,12714483.6875,97.15505504608154
90,20740178.875,20739995.03125,183.68512439727783
91,11485300.5625,11485209.25,91.33445358276367
92,13906345.125,13906226.5,118.6243724822998
93,9891110.96875,9891027.86328125,83.30209994316101
94,8651801.375,8651729.125,72.35073900222778
95,5395630.28125,5395576.21875,54.08149576187134
96,3673353.3359375,3673318.015625,35.384766817092896
97,4049019.0703125,4048989.734375,29.349037647247314
98,2427801.1015625,2427776.71875,24.389568090438843
99,3451394.6875,3451364.546875,30.16873264312744
100,6663523.921875,6663475.15625,48.71674156188965
101,6726397.9296875,6726360.0078125,37.891050815582275
102,4373176.9453125,4373145.1875,31.7671160697937
103,3531972.3671875,3531942.8828125,29.50793957710266
104,2644444.625,2644418.9375,25.61268377304077
105,3030400.59375,3030368.0625,32.51546788215637
106,3782354.171875,3782320.28125,33.95573544502258
107,3419793.65625,3419764.859375,28.85162055492401
108,3203135.9765625,3203112.9296875,23.077627420425415
109,2311382.515625,2311365.96875,16.49811577796936
110,1002573.21875,1002564.85546875,8.351265162229538
111,688568.9375,688563.609375,5.32408744096756
112,923299.1015625,923292.4140625,6.666783779859543
